fecha,municipio,pm10,pm25,o3,precipitacion,humedadrelativa,temperatura,dia_semana
2015-12-13 00:00:00,380,39.9491374682065,44.7,,0,70.4,20.8,0
2015-12-13 00:00:00,631,43,,,0,70.4,20.8,0
2015-12-12 00:00:00,1,97.299126225821,37.8393098405542,89.4146156456552,0.3,59,24.5,6
2015-12-12 00:00:00,79,25.67,,64.7213125,0,72.3,21.9,6
2015-12-12 00:00:00,88,47.5611958986265,,75.7377125,0,72.3,21.9,6
2015-12-12 00:00:00,129,61.054006181065,29.3,132.295075,0,60.8,21.1,6
2015-12-12 00:00:00,212,34.67,,,0,72.3,21.9,6
2015-12-12 00:00:00,266,,,,0,60.8,21.1,6
2015-12-12 00:00:00,308,55,21,61.721325,0,72.3,21.9,6
2015-12-12 00:00:00,360,64.3066740005928,30.434859580808,104.2622875,0,60.8,21.1,6
2015-12-12 00:00:00,380,46.3844723281306,51.8,,0,60.8,21.1,6
2015-12-12 00:00:00,631,46,,,0,60.8,21.1,6
2015-12-11 00:00:00,1,91.2640897063675,34.0902452506802,61.5910853527525,0,,24.5,5
2015-12-11 00:00:00,79,24.33,,70.5737625,0,70.6,22.6,5
2015-12-11 00:00:00,88,50.191250920671,,70.573775,0,70.6,22.6,5
2015-12-11 00:00:00,129,62.2613649646883,32.5,95.409825,0.4,65.7,20.8,5
2015-12-11 00:00:00,212,36,,,0,70.6,22.6,5
2015-12-11 00:00:00,266,,,,0.4,65.7,20.8,5
2015-12-11 00:00:00,308,60,25.9,39.172125,0,70.6,22.6,5
2015-12-11 00:00:00,360,75.0526283063347,34.0647116241497,78.9695571428571,0.4,65.7,20.8,5
2015-12-11 00:00:00,380,52.5820090658984,62.7,,0.4,65.7,20.8,5
2015-12-11 00:00:00,631,50,,,0.4,65.7,20.8,5
2015-12-10 00:00:00,1,85.4366290400174,35.8102860069108,78.7303652354484,0,60,24.3,4
2015-12-10 00:00:00,79,23,,73.5245875,0,73.5,23.1,4
2015-12-10 00:00:00,88,45.7615601200849,,53.4426333333333,0,73.5,23.1,4
2015-12-10 00:00:00,129,63.6028001968248,35.3,111.569085714286,0,66.8,21.7,4
